link,judul,tanggal,portal
https://en.antaranews.com/news/328510/health-ministry-integrates-119-emergency-number-into-satusehat-app,Health Ministry integrates 119 emergency number into SATUSEHAT app,2024-10-06,ANTARA News
https://cahayasiang.id/dinilai-peduli-lindungi-para-pekerja-bpjs-ketenagakerjaan-puji-gubernur-olly/,"Dinilai Peduli Lindungi Para Pekerja, BPJS Ketenagakerjaan Puji Gubernur Olly",2024-09-22,Cahaya Siang
https://sippn.menpan.go.id/pelayanan-publik/8295082/upt-puskesmas-pucanglaban/pelayanan-imunisasi-covid,Sistem Informasi Pelayanan Publik,2024-09-15,SIPPN
https://memorandum.disway.id/read/114165/pemerintah-tingkatkan-layanan-haji-dan-umrah-melalui-satu-sehat-vaksin-meningitis-jadi-wajib,"Pemerintah Tingkatkan Layanan Haji dan Umrah Melalui Satu Sehat, Vaksin Meningitis Jadi Wajib - memorandum.disway.id",2024-09-15,Memorandum.co.id
https://www.bicaranetwork.com/kesehatan/29513494079/tutorial-cara-isi-formulir-satu-sehat-pasca-pulang-dari-luar-negeri-wajib-cegah-mpox,"Tutorial Cara Isi Formulir Satu Sehat Pasca Pulang dari Luar Negeri, Wajib! Cegah Mpox - Bicara Network",2024-09-06,Bicara Network
https://kemlu.go.id/brussels/en/pages/satusehat_health_pass/5718/etc-menu,Embassy of the Republic of Indonesia in Brussels accredited to Luxembourg & the European Union Belgium,2024-09-06,Kemlu
https://newsroom.airasia.com/news/2024/8/29/indonesia-airasia-informs-international-passengers-to-complete-the-satusehat-health-pass-upon-entry-to-indonesia,Indonesia AirAsia Informs International Passengers to Complete the SATUSEHAT Health Pass Upon Entry to Indonesia,2024-09-06,AirAsia Newsroom
https://www.genpi.co/kesehatan/245752/bandara-i-gusti-ngurah-rai-wajibkan-penumpang-dari-luar-negeri-isi-aplikasi-satu-sehat,Bandara I Gusti Ngurah Rai Wajibkan Penumpang dari Luar Negeri Isi Aplikasi Satu Sehat - GenPI.co,2024-09-06,GenPI.co
https://visasnews.com/en/mpox-indonesia-introduces-health-pass-for-travelers/,Mpox: Indonesia introduces health pass for travelers,2024-09-06,VisasNews
https://kemlu.go.id/madrid/en/news/30434/the-implementation-of-satusehat-health-pass-for-international-travelers-to-indonesia,"EMBASSY OF THE REPUBLIC OF INDONESIA IN MADRID, THE KINGDOM OF SPAIN",2024-09-06,Kemlu
https://en.tempo.co/read/1909584/mpox-emergency-indonesia-reinstates-health-app-mandate-for-international-passengers,Mpox Emergency; Indonesia Reinstates Health App Mandate for International Passengers,2024-09-06,Tempo.co English
https://jakarta.akurat.co/lifestyle/1315048356/tok-pemerintah-resmi-berlakukan-kembali-skrining-lewat-aplikasi-satu-sehat-di-bandara?page=2,Tok! Pemerintah Resmi Berlakukan Kembali Skrining Lewat Aplikasi Satu Sehat di Bandara - Akurat Jakarta,2024-09-06,Akurat Jakarta
https://prokaltim.com/2024/07/telkomsel-luncurkan-komunitas-sehat-solusi-kesehatan-satu-pintu-untuk-kualitas-hidup-masyarakat-yang-lebih-baik/,"Telkomsel Luncurkan Komunitas Sehat, Solusi Kesehatan Satu Pintu untuk Kualitas Hidup Masyarakat yang Lebih Baik",2024-07-31,prokaltim
https://kupang.tribunnews.com/2024/06/26/rote-ndao-terima-penghargaan-100-persen-rme-puskesmas-terintegrasi-satu-sehat-dari-kemenkes-ri,Rote Ndao Terima Penghargaan 100 Persen RME Puskesmas Terintegrasi Satu Sehat dari Kemenkes RI,2024-06-26,Pos-kupang.com
https://www.bernas.id/2024/05/175899/perlukah-meng-uninstall-satu-sehat/,Perlukah Meng-uninstall Satu Sehat?,2024-05-29,BERNAS.id
https://chatnews.id/read/waspada-phising-dengan-modus-email-palsu-dari-aplikasi-satu-sehat,Waspada Phising dengan Modus Email Palsu dari Aplikasi Satu Sehat,2024-05-01,chatnews.id
https://www.reaktifnews.com/dinkes-provinsi-kalbar-gelar-pertemuan-integrasi-satu-sehat.html,Dinkes Provinsi Kalbar Gelar Pertemuan Integrasi Satu Sehat,2024-03-06,ReaktifNews
https://newsindonesia.co.id/read/berita-sumenep/transformasi-digital-rsud-moh-anwar-sumenep-bersiap-menuju-satu-sehat/,"Transformasi Digital, RSUD Moh Anwar Sumenep Bersiap Menuju Satu Sehat",2024-02-01,newsindonesia.co.id
